ts,week,score,phrase
2024-12-17 19:59:40,202451,27.5,"black friday"
2024-12-17 19:59:40,202451,24.83333333333333,"’"
2024-12-17 19:59:40,202451,24.0,"business insider may earn"
2024-12-17 19:59:40,202451,14.0,"using ai"
2024-12-17 19:59:40,202451,12.5,"galaxy tab s10 ultra"
2024-12-17 19:59:40,202451,12.0,"affiliate commission"
2024-12-17 19:59:40,202451,10.666666666666666,"healthier lifestyle simple"
2024-12-17 19:59:40,202451,10.0,"generate takeaways"
2024-12-17 19:59:40,202451,9.333333333333334,"year"
2024-12-17 19:59:40,202451,8.0,"us"
2024-12-17 19:59:40,202451,8.0,"cyber monday"
2024-12-17 19:59:40,202451,8.0,"buy"
2024-12-17 19:59:40,202451,8.0,"article"
2024-12-17 19:59:40,202451,8.0,"simple app"
2024-12-17 19:59:40,202451,8.0,"restrictive list"
2024-12-17 19:59:40,202451,8.0,"simple"
2024-12-17 19:59:40,202451,7.625,"microsoft surface rumors point"
2024-12-17 19:59:40,202451,7.333333333333333,"achtsamkeit"
2024-12-17 19:59:40,202451,6.666666666666667,"golden bachelor"
2024-12-17 19:59:40,202451,6.0,"company"
2024-12-17 19:59:40,202451,6.0,"news writer fond"
2024-12-17 19:59:40,202451,6.0,"antitrust investigation"
2024-12-17 19:59:40,202451,6.0,"one"
2024-12-17 19:59:40,202451,6.0,"record low price"
2024-12-17 19:59:40,202451,6.0,"links"
2024-12-17 19:59:40,202451,6.0,"learn"
2024-12-17 19:59:40,202451,6.0,"info may"
2024-12-17 19:59:40,202451,6.0,"always match"
2024-12-17 19:59:40,202451,6.0,"living"
2024-12-17 19:59:40,202451,5.5,"brand"
2024-12-17 19:59:40,202451,5.5,"amazon"
2024-12-17 19:59:40,202451,5.333333333333334,"moved"
2024-12-17 19:59:40,202451,5.333333333333334,"costa rica"
2024-12-17 19:59:40,202451,5.333333333333333,"generate key takeaways"
2024-12-17 19:59:40,202451,5.25,"best gaming monitor deal"
2024-12-17 19:59:40,202451,5.25,"rfk jr"
2024-12-17 19:59:40,202451,5.125,"rose et blanc cassé"
2024-12-17 19:59:40,202451,5.111111111111111,"nvidia china opens"
2024-12-17 19:59:40,202451,5.0,"99"
2024-12-17 19:59:40,202451,5.0,"minimalist design"
2024-12-17 19:59:40,202451,5.0,"james webb space telescope"
2024-12-17 19:59:40,202451,4.75,"early black friday deals"
2024-12-17 19:59:40,202451,4.666666666666667,"ballerina farm"
2024-12-17 19:59:40,202451,4.666666666666667,"warner bros"
2024-12-17 19:59:40,202451,4.5,"first"
2024-12-17 19:59:40,202451,4.5,"outerwear like canada goose"
2024-12-17 19:59:40,202451,4.5,"studio"
2024-12-17 19:59:40,202451,4.375,"ceo jim bankoff said"
2024-12-17 19:59:40,202451,4.375,"echo show smart screen"
2024-12-17 19:59:40,202451,4.375,"features five essential travel"
2024-12-17 19:59:40,202451,4.333333333333334,"getty images warner bros"
2024-12-17 19:59:40,202451,4.333333333333333,"gelsinger"
2024-12-17 19:59:40,202451,4.333333333333333,"discovery"
2024-12-17 19:59:40,202451,4.25,"surface lineup"
2024-12-17 19:59:40,202451,4.25,"30th anniversary allows users"
2024-12-17 19:59:40,202451,4.25,"tim lenz alfonso cobo"
2024-12-17 19:59:40,202451,4.166666666666666,"gerry turner got married"
2024-12-17 19:59:40,202451,4.0,"geek core holiday news"
2024-12-17 19:59:40,202451,4.0,"get"
2024-12-17 19:59:40,202451,4.0,"jaguars ev reset starts"
2024-12-17 19:59:40,202451,4.0,"byumar shakir"
2024-12-17 19:59:40,202451,4.0,"2024"
2024-12-17 19:59:40,202451,4.0,"body fights weight loss"
2024-12-17 19:59:40,202451,4.0,"best buy"
2024-12-17 19:59:40,202451,4.0,"price"
2024-12-17 19:59:40,202451,4.0,"amazon crushes"
2024-12-17 19:59:40,202451,4.0,"premium tablet experience without"
2024-12-17 19:59:40,202451,4.0,"world friends anyone want"
2024-12-17 19:59:40,202451,4.0,"playstation portal"
2024-12-17 19:59:40,202451,4.0,"lugging around heavy books"
2024-12-17 19:59:40,202451,4.0,"luxuries made saving harder"
2024-12-17 19:59:40,202451,4.0,"four years"
2024-12-17 19:59:40,202451,4.0,"dubai"
2024-12-17 19:59:40,202451,4.0,"bought"
2024-12-17 19:59:40,202451,4.0,"sachen schönheit zu bescheren"
2024-12-17 19:59:40,202451,4.0,"entitled cheating girlfriend demands"
2024-12-17 19:59:40,202451,4.0,"windows central best award"
2024-12-17 19:59:40,202451,4.0,"4"
2024-12-17 19:59:40,202451,4.0,"kick scooters fit perfectly"
2024-12-17 19:59:40,202451,4.0,"nubia z70 ultra review"
2024-12-17 19:59:40,202451,4.0,"favorite stretchy work pants"
2024-12-17 19:59:40,202451,4.0,"black female vice president"
2024-12-17 19:59:40,202451,4.0,"sitewide cyber monday sale"
2024-12-17 19:59:40,202451,4.0,"swanky bachelor pad —"
2024-12-17 19:59:40,202451,4.0,"slate experts june thomas"
2024-12-17 19:59:40,202451,4.0,"shaped queer womens culture"
2024-12-17 19:59:40,202451,4.0,"going underground"
2024-12-17 19:59:40,202451,4.0,"100 million"
2024-12-17 19:59:40,202451,4.0,"small living lifestyle canada"
2024-12-17 19:59:40,202451,4.0,"similarly spacious living experience"
2024-12-17 19:59:40,202451,4.0,"recently completed another non"
2024-12-17 19:59:40,202451,4.0,"elect donald trumps choice"
2024-12-17 19:59:40,202451,4.0,"kathryn kellogg"
2024-12-17 19:59:40,202451,4.0,"one ui 7 beta"
2024-12-17 19:59:40,202451,4.0,"galaxy z fold 6"
2024-12-17 19:59:40,202451,4.0,"stage generalist firm based"
2024-12-17 19:59:40,202451,4.0,"black friday deals"
2024-12-17 19:59:40,202451,4.0,"minimalist oil lamp turns"
2024-12-17 19:59:40,202451,4.0,"special counsel david weiss"
2024-12-17 19:59:40,202451,4.0,"tax"
2024-12-17 19:59:40,202451,4.0,"ts"
2024-12-17 19:59:40,202451,4.0,"team"
2024-12-17 19:59:40,202451,4.0,"nutritional"
2024-12-17 19:59:40,202451,4.0,"behavioral"
2024-12-17 19:59:40,202451,4.0,"lifestyle golf label founded"
2024-12-17 19:59:40,202451,4.0,"holiday season"
2024-12-17 19:59:40,202451,3.8888888888888893,"pope goes electric"
2024-12-17 19:59:40,202451,3.888888888888889,"star gerry turner"
2024-12-17 19:59:40,202451,3.875,"one moment youre shivering"
2024-12-17 19:59:40,202451,3.875,"first fully electric popemobile"
2024-12-17 19:59:40,202451,3.875,"starred chef said watching"
2024-12-17 19:59:40,202451,3.875,"100 million da vinci"
2024-12-17 19:59:40,202451,3.8333333333333335,"victoria blinova left dubai"
2024-12-17 19:59:40,202451,3.8333333333333335,"disruptive hotel membership programs"
2024-12-17 19:59:40,202451,3.833333333333333,"brian ach vox media"
2024-12-17 19:59:40,202451,3.777777777777778,"leaving sarasota following"
2024-12-17 19:59:40,202451,3.75,"business insider chloe tan"
2024-12-17 19:59:40,202451,3.75,"morocco five years ago"
2024-12-17 19:59:40,202451,3.75,"10 best minimalist designs"
2024-12-17 19:59:40,202451,3.75,"kennedy jr ., president"
2024-12-17 19:59:40,202451,3.75,"lifestyle news roundup paintings"
2024-12-17 19:59:40,202451,3.708333333333333,"discovery separates tv networks"
2024-12-17 19:59:40,202451,3.6666666666666665,"vox media"
2024-12-17 19:59:40,202451,3.6666666666666665,"intel today announced"
2024-12-17 19:59:40,202451,3.6666666666666665,"zachary gerth zachary gerth"
2024-12-17 19:59:40,202451,3.6666666666666665,"trippers hannah neeleman"
2024-12-17 19:59:40,202451,3.6666666666666665,"benz ag communications"
2024-12-17 19:59:40,202451,3.6666666666666665,"separate new indictment"
2024-12-17 19:59:40,202451,3.625,"beats studio buds drop"
2024-12-17 19:59:40,202451,3.625,"former fbi informant charged"
2024-12-17 19:59:40,202451,3.5833333333333335,"lifestyle hotel brands like"
2024-12-17 19:59:40,202451,3.5,"spooky season"
2024-12-17 19:59:40,202451,3.5,"universal studios orlando"
2024-12-17 19:59:40,202451,3.5,"newest pixel 9"
2024-12-17 19:59:40,202451,3.5,"beats studio buds"
2024-12-17 19:59:40,202451,3.5,"apple 2022 macbook air"
2024-12-17 19:59:40,202451,3.5,"1"
2024-12-17 19:59:40,202451,3.5,"000"
2024-12-17 19:59:40,202451,3.5,"moving"
2024-12-17 19:59:40,202451,3.5,"world ’"
2024-12-17 19:59:40,202451,3.5,"teenage engineeringbilled"
2024-12-17 19:59:40,202451,3.5,"author"
2024-12-17 19:59:40,202451,3.5,"modern elegance comes"
2024-12-17 19:59:40,202451,3.5,"net worth — focus"
2024-12-17 19:59:40,202451,3.5,"tiktok shop host sells"
2024-12-17 19:59:40,202451,3.5,"santa claus busiest time"
2024-12-17 19:59:40,202451,3.5,"las tiendas"
2024-12-17 19:59:40,202451,3.5,"las casas"
2024-12-17 19:59:40,202451,3.5,"fbi informant charged"
2024-12-17 19:59:40,202451,3.444444444444444,"son hunter biden"
2024-12-17 19:59:40,202451,3.444444444444444,"president joe biden"
2024-12-17 19:59:40,202451,3.375,"workwear apparel brand dickies"
2024-12-17 19:59:40,202451,3.375,"skims black friday deals"
2024-12-17 19:59:40,202451,3.3333333333333335,"jaguar jaguar"
2024-12-17 19:59:40,202451,3.3333333333333335,"jaguar"
2024-12-17 19:59:40,202451,3.3333333333333335,"black friday sales"
2024-12-17 19:59:40,202451,3.3333333333333335,"garcia told bi"
2024-12-17 19:59:40,202451,3.3333333333333335,"rover tiny homes"
2024-12-17 19:59:40,202451,3.3333333333333335,"popular brands like"
2024-12-17 19:59:40,202451,3.25,"universal studios orlando ’"
2024-12-17 19:59:40,202451,3.25,"spotify wrapped"
2024-12-17 19:59:40,202451,3.25,"listening habitsat"
2024-12-17 19:59:40,202451,3.25,"newest google pixel 9"
2024-12-17 19:59:40,202451,3.25,"inch display"
2024-12-17 19:59:40,202451,3.25,"los jardines"
2024-12-17 19:59:40,202451,3.25,"business dealings"
2024-12-17 19:59:40,202451,3.1666666666666665,"macbook air m2"
2024-12-17 19:59:40,202451,3.1666666666666665,"playstation brand ’"
2024-12-17 19:59:40,202451,3.1666666666666665,"next youre sweating"
2024-12-17 19:59:40,202451,3.1666666666666665,"personal commuters"
2024-12-17 19:59:40,202451,3.1666666666666665,"2 million banana"
2024-12-17 19:59:40,202451,3.125,"ipad pro ($ 1"
2024-12-17 19:59:40,202451,3.0833333333333335,"new light — mid"
2024-12-17 19:59:40,202451,3.083333333333333,"acting career"
2024-12-17 19:59:40,202451,3.0,"immersive"
2024-12-17 19:59:40,202451,3.0,"doj officials asked"
2024-12-17 19:59:40,202451,3.0,"new york city"
2024-12-17 19:59:40,202451,3.0,"dropped 80 pounds"
2024-12-17 19:59:40,202451,3.0,"never fully adjust"
2024-12-17 19:59:40,202451,3.0,"electric vehicle lifestyle"
2024-12-17 19:59:40,202451,3.0,"9 ghz band"
2024-12-17 19:59:40,202451,3.0,"second spot —"
2024-12-17 19:59:40,202451,3.0,"7 years later"
2024-12-17 19:59:40,202451,3.0,"help"
2024-12-17 19:59:40,202451,3.0,"family"
2024-12-17 19:59:40,202451,3.0,"new audio add"
2024-12-17 19:59:40,202451,3.0,"generated podcast analyzing"
2024-12-17 19:59:40,202451,3.0,"nvidias 2020 acquisition"
2024-12-17 19:59:40,202451,3.0,"katherine saunders ted"
2024-12-17 19:59:40,202451,3.0,"199"
2024-12-17 19:59:40,202451,3.0,"day"
2024-12-17 19:59:40,202451,3.0,"early black friday"
2024-12-17 19:59:40,202451,3.0,"world"
2024-12-17 19:59:40,202451,3.0,"incredible deals available"
2024-12-17 19:59:40,202451,3.0,"great wireless earbuds"
2024-12-17 19:59:40,202451,3.0,"top"
2024-12-17 19:59:40,202451,3.0,"hefty price tag"
2024-12-17 19:59:40,202451,3.0,"10 times cheaper"
2024-12-17 19:59:40,202451,3.0,"ipad pro"
2024-12-17 19:59:40,202451,3.0,"latest ipad air"
2024-12-17 19:59:40,202451,3.0,"ipad air m2"
2024-12-17 19:59:40,202451,3.0,"money"
2024-12-17 19:59:40,202451,3.0,"california"
2024-12-17 19:59:40,202451,3.0,"second edition featuring"
2024-12-17 19:59:40,202451,3.0,"play ready instruments"
